Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,is_ai_related
Automating output size and reuse metrics in a repository-based computer-aided software engineering (CASE) environment,R. D. Banker; R. J. Kauffman; C. Wright; D. Zweig,"Carlson School of Management, University of Minnesota, Minneapolis, MN, USA; Stem School of Business, New York University, New York, NY, USA; Seer Technologies, New York, NY, USA; Department of Administrative Sciences, U.S. Naval Postgraduate School, CA, USA",IEEE Transactions on Software Engineering,6 Aug 2002,1994,20,3,169,187,"Measurement of software development productivity is needed in order to control software costs, but it is discouragingly labor-intensive and expensive. Computer-aided software engineering (CASE) technologies/spl minus/especially repository-based, integrated CASE/spl minus/have the potential to support the automation of this measurement. We discuss the conceptual basis for the development of automated analyzers for function point and software reuse measurement for object-based CASE. Both analyzers take advantage of the existence of a representation of the application system that is stored within an object repository, and that contains the necessary information about the application system. We also discuss metrics for software reuse measurement, including reuse leverage, reuse value, and reuse classification that are motivated by managerial requirements and the efforts, within industry and the IEEE, to standardize measurement. The functionality and the analytical capabilities of state-of-the-art automated software metrics analyzers are illustrated in the context of an investment banking industry application that is similar to systems deployed at the New York City-based investment bank where these tools were developed and tested.<>",1939-3520,,10.1109/32.268919,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=268919,,Software measurement;Computer aided software engineering;Application software;Investments;Programming;Productivity;Automatic control;Costs;Automation;Information analysis,,29,6,70,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Assessing staffing needs for a software maintenance project through queuing simulation,G. Antoniol; A. Cimitile; G. A. Di Lucca; M. Di Penta,"RCOST-Research Centre on Software Technology, Department of Engineering, University of Sannio, Benevento, Italy; RCOST-Research Centre on Software Technology, Department of Engineering, University of Sannio, Benevento, Italy; Computer Science Department, University of Sannio, Benevento, Italy; RCOST-Research Centre on Software Technology, Department of Engineering, University of Sannio, Benevento, Italy",IEEE Transactions on Software Engineering,19 Feb 2004,2004,30,1,43,58,"We present an approach based on queuing theory and stochastic simulation to help planning, managing, and controlling the project staffing and the resulting service level in distributed multiphase maintenance processes. Data from a Y2K massive maintenance intervention on a large COBOL/JCL financial software system were used to simulate and study different service center configurations for a geographically distributed software maintenance project. In particular, a monolithic configuration corresponding to the customer's point-of-view and more fine-grained configurations, accounting for different process phases as well as for rework, were studied. The queuing theory and stochastic simulation provided a means to assess staffing, evaluate service level, and assess the likelihood to meet the project deadline while executing the project. It turned out to be an effective staffing tool for managers, provided that it is complemented with other project-management tools, in order to prioritize activities, avoid conflicts, and check the availability of resources.",1939-3520,,10.1109/TSE.2004.1265735,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265735,,Software maintenance;Queueing analysis;Computational modeling;Stochastic processes;Project management;Costs;Computer simulation;Software systems;Counting circuits;Computer Society,,50,,37,IEEE,19 Feb 2004,,,IEEE,IEEE Journals,True
Design and implementation of a fine-grained software inspection tool,P. Anderson; T. Reps; T. Teitelbaum,"GrammaTech, Inc., Ithaca, NY, USA; Computer Science Department, University of Wisconsin, Madison, WI, USA; Department of Computer Science, Cornell University, Ithaca, NY, USA",IEEE Transactions on Software Engineering,26 Aug 2003,2003,29,8,721,733,"Although software inspection has led to improvements in software quality, many software systems continue to be deployed with unacceptable numbers of errors, even when software inspection is part of the development process. The difficulty of manually verifying that the software under inspection conforms to the rules is partly to blame. We describe the design and implementation of a tool designed to help alleviate this problem. The tool provides mechanisms for fine-grained inspection of software by exposing the results of sophisticated whole-program static analysis to the inspector. The tool computes many static-semantic representations of the program, including an accurate call graph and dependence graph. A whole-program pointer analysis is used to make sure that the representation is precise with respect to aliases induced by pointer usage. Views on the dependence graph and related representations are supported. Queries on the dependence graph allow an inspector to answer detailed questions about the semantics of the program. Facilities for openness and extensibility permit the tool to be integrated with many software development processes. The main challenge of the approach is to provide facilities to navigate and manage the enormous complexity of the dependence graph.",1939-3520,,10.1109/TSE.2003.1223646,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1223646,,Software tools;Inspection;Software quality;Navigation;Software systems;Software engineering;Best practices;NASA;Performance analysis;Filters,,49,10,44,IEEE,26 Aug 2003,,,IEEE,IEEE Journals,True
Using machine learning for estimating the defect content after an inspection,F. Padberg; T. Ragg; R. Schoknecht,"Fakultät fur Informatik, Universität Karlsruhe, Karlsruhe, Germany; Quantiom bioinformatics GmbH, Weingarten, Germany; Fakultät fur Informatik, Universität Karlsruhe, Karlsruhe, Germany",IEEE Transactions on Software Engineering,19 Feb 2004,2004,30,1,17,28,"We view the problem of estimating the defect content of a document after an inspection as a machine learning problem: The goal is to learn from empirical data the relationship between certain observable features of an inspection (such as the total number of different defects detected) and the number of defects actually contained in the document. We show that some features can carry significant nonlinear information about the defect content. Therefore, we use a nonlinear regression technique, neural networks, to solve the learning problem. To select the best among all neural networks trained on a given data set, one usually reserves part of the data set for later cross-validation; in contrast, we use a technique which leaves the full data set for training. This is an advantage when the data set is small. We validate our approach on a known empirical inspection data set. For that benchmark, our novel approach clearly outperforms both linear regression and the current standard methods in software engineering for estimating the defect content, such as capture-recapture. The validation also shows that our machine learning approach can be successful even when the empirical inspection data set is small.",1939-3520,,10.1109/TSE.2004.1265733,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265733,,Machine learning;Inspection;Neural networks;Software engineering;Curve fitting;Linear regression;Software standards;Software testing;Quality assurance;Estimation error,,16,,25,IEEE,19 Feb 2004,,,IEEE,IEEE Journals,True
Success and failure factors in software reuse,M. Morisio; M. Ezran; C. Tully,"Dip. Automatica e Informatica, Politecnico di Torino, Torino, Italy; Immeuble Lavoisier, Valtech S. A., Courbevoie, France; School of Computing Science, Middlesex University, London, UK",IEEE Transactions on Software Engineering,7 Aug 2002,2002,28,4,340,357,"This paper aims at identifying some of the key factors in adopting or running a company-wide software reuse program. Key factors are derived from empirical evidence of reuse practices, as emerged from a survey of projects for the introduction of reuse in European companies: 24 such projects performed from 1994 to 1997 were analyzed using structured interviews. The projects were undertaken in both large and small companies, working in a variety of business domains, and using both object-oriented and procedural development approaches. Most of them produce software with high commonality between applications, and have at least reasonably mature processes. Despite that apparent potential for success, around one-third of the projects failed. Three main causes of failure were not introducing reuse-specific processes, not modifying nonreuse processes, and not considering human factors. The root cause was a lack of commitment by top management, or nonawareness of the importance of those factors, often coupled with the belief that using the object-oriented approach or setting up a repository seamlessly is all that is necessary to achieve success in reuse. Conversely, successes were achieved when, given a potential for reuse because of commonality among applications, management committed to introducing reuse processes, modifying nonreuse processes, and addressing human factors.",1939-3520,,10.1109/TSE.2002.995420,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995420,,Companies;Human factors;Performance analysis;Application software,,142,,35,IEEE,7 Aug 2002,,,IEEE,IEEE Journals,True
Evaluating Web software reliability based on workload and failure data extracted from server logs,J. Tian; S. Rudraraju; Zhao Li,"Computer Science and Engineering Department, Southern Methodist University, Dallas, TX, USA; Intervoice, Flower Mound, TX, USA; Computer Science and Engineering Department, Southern Methodist University, Dallas, TX, USA",IEEE Transactions on Software Engineering,22 Nov 2004,2004,30,11,754,769,"We characterize usage and problems for Web applications, evaluate their reliability, and examine the potential for reliability improvement. Based on the characteristics of Web applications and the overall Web environment, we classify Web problems and focus on the subset of source content problems. Using information about Web accesses, we derive various measurements that can characterize Web site workload at different levels of granularity and from different perspectives. These workload measurements, together with failure information extracted from recorded errors, are used to evaluate the operational reliability for source contents at a given Web site and the potential for reliability improvement. We applied this approach to the Web sites www.seas.smu.edu and www.kde.org. The results demonstrated the viability and effectiveness of our approach.",1939-3520,,10.1109/TSE.2004.87,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1359769,Index Terms- World Wide Web (WWW) and Internet;Web applications and Web server logs;quality and reliability;reliability modeling;workload measurement,Software reliability;Data mining;Application software;World Wide Web;Web server;Software systems;Software measurement;Computer Society;Internet;Web sites,,61,,21,IEEE,22 Nov 2004,,,IEEE,IEEE Journals,True
Measuring the maintainability of a communication protocol based on its formal specification,Sun-Jen Huang; R. Lai,"Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Computer Science and Computer Engineering, La Trobe University, VIC, Australia",IEEE Transactions on Software Engineering,8 Apr 2003,2003,29,4,327,344,"It is difficult to measure the maintainability of a software system early in the development life cycle from its requirement descriptions written in a natural language because informal specifications cannot be analyzed. With the uses of formal description techniques (FDTs) in the communication protocol area since the mid-1980s, avenues have been opened up for a system to be analyzed early in the specification phase. Quantitative measures on its maintainability can then be extracted from such a formal specification, so that we can develop easily maintainable communication software systems and further reduce the increasingly high cost of software maintenance. To date, there is hardly any work done on measuring the maintainability of a system early in its specification phase. This paper presents a method for measuring the maintainability of a communication by using maintainability metrics derived from its formal specification written in Estelle. The methodology for building the Estelle maintainability metrics hierarchy is presented. We have also developed an automated tool, called PSAMS, to automate the calculation of the maintainability indices. We also found that there is a significant correlation between the specification metrics proposed and the widely adopted implementation metrics, thus demonstrating that our proposed metrics are a reliable means of measuring the maintainability of a communication protocol early in the specification phase.",1939-3520,,10.1109/TSE.2003.1191797,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1191797,,Protocols;Formal specifications;Software maintenance;Software measurement;Software systems;Costs;Phase measurement;Software quality;Software metrics;Natural languages,,6,,33,IEEE,8 Apr 2003,,,IEEE,IEEE Journals,True
Cryptographic verification of test coverage claims,P. T. Devanbu; S. G. Stubblebine,"Department of Computer Science, University of California, Davis, CA, USA; New York, USA",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,2,178,192,"The market for software components is growing, driven on the ""demand side"" by the need for rapid deployment of highly functional products and, on the ""supply side"", by distributed object standards. As components and component vendors proliferate, there is naturally a growing concern about quality and the effectiveness of testing processes. White-box testing, particularly the use of coverage criteria, Is a widely used method for measuring the ""thoroughness"" of testing efforts. High levels of test coverage are used as indicators of good quality control procedures. Software vendors who can demonstrate high levels of test coverage have a credible claim to high quality. However, verifying such claims involves knowledge of the source code, test cases, build procedures, etc. In applications where reliability and quality are critical, it would be desirable to verify test coverage claims without forcing vendors to give up valuable technical secrets. In this paper, we explore cryptographic techniques that can be used to verify such claims. Our techniques have certain limitations, which we discuss in this paper. However, vendors who have done the hard work of developing high levels of test coverage can use these techniques (for a modest additional cost) to provide credible evidence of high coverage, while simultaneously reducing disclosure of intellectual property.",1939-3520,,10.1109/32.841116,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=841116,,Cryptography;Costs;Application software;Software testing;Software standards;Intellectual property;Particle measurements;Quality control;Software quality;Software safety,,6,2,39,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Quantitative analysis of faults and failures in a complex software system,N. E. Fenton; N. Ohlsson,"Risk Assessment and Decision Analysis Research Group, Computer Science Department, Faculty of Informatics and Mathematical Sciences, Queen Mary and Westfield College, London, UK; GratisTel International, AB, Stockholm, Sweden",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,8,797,814,"The authors describe a number of results from a quantitative study of faults and failures in two releases of a major commercial software system. They tested a range of basic software engineering hypotheses relating to: the Pareto principle of distribution of faults and failures; the use of early fault data to predict later fault and failure data; metrics for fault prediction; and benchmarking fault data. For example, we found strong evidence that a small number of modules contain most of the faults discovered in prerelease testing and that a very small number of modules contain most of the faults discovered in operation. We found no evidence to support previous claims relating module size to fault density nor did we find evidence that popular complexity metrics are good predictors of either fault-prone or failure-prone modules. We confirmed that the number of faults discovered in prerelease testing is an order of magnitude greater than the number discovered in 12 months of operational use. The most important result was strong evidence of a counter-intuitive relationship between pre- and postrelease faults; those modules which are the most fault-prone prerelease are among the least fault-prone postrelease, while conversely, the modules which are most fault-prone postrelease are among the least fault-prone prerelease. This observation has serious ramifications for the commonly used fault density measure. Our results provide data-points in building up an empirical picture of the software development process.",1939-3520,,10.1109/32.879815,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=879815,,Failure analysis;Software systems;Density measurement;Software engineering;Software testing;Computer industry;Benchmark testing;Programming;Software metrics;Phase measurement,,442,1,46,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
Toward constraint-object-oriented development,T. Bolognesi,"CNR-IEI-Istituto di Elaborazione dell''Informazione, Pisa, Italy",IEEE Transactions on Software Engineering,6 Aug 2002,2000,26,7,594,616,"In this paper, we propose to conservatively extend object-oriented decomposition by letting it affect also operations (methods). Different objects may support different parts of the same operation. The responsibility of defining an operation, in terms of enabling conditions and effects on the state, is distributed over several interacting objects, which act as constraints and express different, partial views about the system behavior. Constraint-oriented reasoning has already been explored and applied in the context of formal specification languages for concurrent and reactive systems, and is sufficiently different from object-oriented reasoning to be considered as a paradigm in itself, with its own specific advantages. Nevertheless, the paper shows that the two approaches are sufficiently compatible to be profitably integrated. We introduce a constraint-oriented style for an object-oriented programming language (JAVA).",1939-3520,,10.1109/32.859530,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=859530,,Formal specifications;Java;Programming profession;Object oriented programming;Design methodology;Computer languages;Software engineering;Engineering management;Isolation technology;Data encapsulation,,7,,36,IEEE,6 Aug 2002,,,IEEE,IEEE Journals,True
